id;name;code_alpha;code;flag;created_at;created_by
1;content Car la;virtual Riyal;Steel optimize;encoding a Tasty;2023-01-16T08:05:13;wireless overriding
2;scalable;intuitive Tuna;a;Garden Cotton explicit;2023-01-16T02:59:45;deposit generation Bulgarian
3;Credit Enterprise-wide Stagiaire;maximized indexing;Rubber;cross-platform Handcrafted;2023-01-16T15:56:45;a digital
4;state fuchsia;Small Micronésie;Auvergne Franche-Comté;Computers engineer;2023-01-16T17:49:29;enhance Sleek Languedoc-Roussillon
5;compressing Portugal;Ergonomic c;IB SDR Cambridgeshire;Cotton orchid Directeur;2023-01-16T17:54:22;deposit compelling Steel
6;Keyboard;bandwidth-monitored;Analyste mindshare Laffitte;b c;2023-01-16T12:16:40;ivory Borders ubiquitous
7;digital;Palladium interactive;c b Loan;array;2023-01-16T19:55:34;Wooden
8;attitude;application Provence-Alpes-Côte;encryption;Nord-Pas-de-Calais Unbranded;2023-01-16T13:12:35;Saint-Denis
9;orange;Pants;Integrated Corse;HDD Soft;2023-01-16T10:08:36;supply-chains morph
10;JBOD Concrete;c;Stagiaire;Licensed quantify web-enabled;2023-01-16T12:49:56;hard b
