id;date;title;description;created_at;created_by;organizer;expire_at;status
1;2023-01-16T07:29:03;a;../fake-data/blob/hipster.txt;2023-01-16T04:33:09;connect Concrete;Developpeur bluetooth;2023-01-16T12:18:33;CANCELLED
2;2023-01-16T08:54:44;SDD;../fake-data/blob/hipster.txt;2023-01-16T05:19:44;generating;out-of-the-box Shoes Oberkampf;2023-01-16T10:46:55;EXPIRED
3;2023-01-16T23:42:37;data-warehouse Bedfordshire;../fake-data/blob/hipster.txt;2023-01-16T15:33:59;Dollar;Triple-buffered;2023-01-16T19:46:33;EXPIRED
4;2023-01-16T03:55:30;radical transmitting;../fake-data/blob/hipster.txt;2023-01-16T17:42:18;hack portals Ergonomic;Champagne-Ardenne quantify;2023-01-16T17:20:59;EXPIRED
5;2023-01-16T16:00:35;discrete;../fake-data/blob/hipster.txt;2023-01-16T01:45:00;success withdrawal withdrawal;Garden;2023-01-16T21:07:15;EXPIRED
6;2023-01-16T21:10:26;Borders Bedfordshire deposit;../fake-data/blob/hipster.txt;2023-01-16T19:32:12;Nauru auxiliary a;Bike;2023-01-16T14:42:11;EXPIRED
7;2023-01-16T07:35:19;real-time Computer c;../fake-data/blob/hipster.txt;2023-01-16T20:09:46;up modular;function;2023-01-16T03:21:10;UPCOMING
8;2023-01-16T12:18:33;Organic a Movies;../fake-data/blob/hipster.txt;2023-01-16T23:06:50;interactive Algérie;la Pompe;2023-01-16T06:15:39;EXPIRED
9;2023-01-16T20:54:50;deposit Steel;../fake-data/blob/hipster.txt;2023-01-16T20:18:02;maximized b c;panel Tools transmitting;2023-01-16T22:58:17;UPCOMING
10;2023-01-16T02:43:09;c Plastic;../fake-data/blob/hipster.txt;2023-01-16T07:21:10;deposit;optical Biélorussie Checking;2023-01-16T10:10:35;UPCOMING
