id;name;description;value
1;Health Outdoors c;../fake-data/blob/hipster.txt;Franche-Comté Inverse payment
2;Towels brand primary;../fake-data/blob/hipster.txt;indexing a Directeur
3;solution-oriented invoice ivory;../fake-data/blob/hipster.txt;Steel de matrix
4;b;../fake-data/blob/hipster.txt;digital
5;bluetooth;../fake-data/blob/hipster.txt;Buckinghamshire Streamlined auxiliary
6;Haïti non-volatile indexing;../fake-data/blob/hipster.txt;quantify Pants interfaces
7;Bike;../fake-data/blob/hipster.txt;Soft port Dinar
8;Refined violet SCSI;../fake-data/blob/hipster.txt;web-readiness
9;Loan productize Rica;../fake-data/blob/hipster.txt;Centre
10;Gloves deposit;../fake-data/blob/hipster.txt;initiatives
