id;name;code;created_at;created_by
1;c Practical;Jordanian;2023-01-16T10:30:56;c
2;users;De-engineered;2023-01-16T18:15:56;Saint-Honoré
3;methodical;override TCP;2023-01-16T06:43:57;back-end Auvergne c
4;Soft transmitting;Jewelery;2023-01-16T14:31:14;d'Azur Small
5;d'Assas a;system withdrawal;2023-01-16T04:40:21;embrace bandwidth radical
6;calculate Moldavie;maroon teal;2023-01-16T00:44:55;Fish
7;synergies deposit;emulation a Sleek;2023-01-16T10:55:34;Granite optical
8;Wooden;eco-centric Borders;2023-01-16T21:10:55;haptic Garden magenta
9;plum reciprocal;deposit Dinar;2023-01-16T11:58:56;global
10;Hat matrix;functionalities Australian black;2023-01-16T20:54:43;Rustic payment
