id;name;code;created_at;created_by
1;connecting;du b;2023-01-16T10:20:52;a Credit Grocery
2;redefine capacitor;Bike mint;2023-01-16T00:29:23;Cotton knowledge
3;generating help-desk neural;navigating upward-trending intranet;2023-01-16T17:42:57;a systematic Keyboard
4;payment Baby;Sleek copying e-commerce;2023-01-16T00:51:22;Handmade
5;Fantastic e-services deposit;bypassing Interface;2023-01-16T03:58:43;de firewall up
6;Pound;reciprocal program overriding;2023-01-16T13:05:26;Ergonomic application monitor
7;rich Frozen;Lek;2023-01-16T00:42:56;oriental panel
8;Buckinghamshire wireless;Awesome protocol tangible;2023-01-16T09:34:41;Dinar
9;architecture de;Dalasi payment Bike;2023-01-16T06:15:11;b HTTP synergize
10;withdrawal Victoire Team-oriented;Bedfordshire indexing;2023-01-16T16:03:38;array c
